"Plot Title: WestK_Stream_Jan26"
"#","Date Time, GMT-10:00","Abs Pres, psi (LGR S/N: 21652271, SEN S/N: 21652271)","Temp, °F (LGR S/N: 21652271, SEN S/N: 21652271)","Abs Pres Barom., psi (LGR S/N: 10732841, SEN S/N: 10732841)","Sensor Depth, feet (LGR S/N: 21652271)"
1,01/28/26 02:00:00 PM,,,14.4347,
2,01/28/26 02:15:00 PM,,,14.4466,
3,01/28/26 02:30:00 PM,,,14.4616,
4,01/28/26 02:45:00 PM,,,14.4603,
5,01/28/26 03:00:00 PM,,,14.4894,
6,01/28/26 03:15:00 PM,,,14.4838,
7,01/28/26 03:30:00 PM,,,14.2888,
8,01/28/26 03:45:00 PM,,,14.2888,
9,01/28/26 04:00:00 PM,,,14.2897,
10,01/28/26 04:15:00 PM,,,14.2897,
11,01/28/26 04:30:00 PM,,,14.2936,
12,01/28/26 04:45:00 PM,,,14.2952,
13,01/28/26 05:00:00 PM,,,14.2961,
14,01/28/26 05:15:00 PM,,,14.2955,
15,01/28/26 05:30:00 PM,,,14.2980,
16,01/28/26 05:45:00 PM,,,14.2972,
17,01/28/26 06:00:00 PM,,,14.2958,
18,01/28/26 06:15:00 PM,,,14.3013,
19,01/28/26 06:30:00 PM,,,14.3036,
20,01/28/26 06:45:00 PM,,,14.3030,
21,01/28/26 07:00:00 PM,,,14.3055,
22,01/28/26 07:15:00 PM,,,14.3080,
23,01/28/26 07:30:00 PM,,,14.3088,
24,01/28/26 07:45:00 PM,,,14.3097,
25,01/28/26 08:00:00 PM,,,14.3086,
26,01/28/26 08:15:00 PM,,,14.3113,
27,01/28/26 08:30:00 PM,,,14.3130,
28,01/28/26 08:45:00 PM,,,14.3142,
29,01/28/26 09:00:00 PM,,,14.3130,
30,01/28/26 09:15:00 PM,,,14.3112,
31,01/28/26 09:30:00 PM,,,14.3130,
32,01/28/26 09:45:00 PM,,,14.3148,
33,01/28/26 10:00:00 PM,,,14.3130,
34,01/28/26 10:15:00 PM,,,14.3117,
35,01/28/26 10:30:00 PM,,,14.3096,
36,01/28/26 10:45:00 PM,,,14.3059,
37,01/28/26 11:00:00 PM,,,14.3032,
38,01/28/26 11:15:00 PM,,,14.2980,
39,01/28/26 11:30:00 PM,,,14.2952,
40,01/28/26 11:45:00 PM,,,14.2930,
41,01/29/26 12:00:00 AM,,,14.2955,
42,01/29/26 12:15:00 AM,,,14.2980,
43,01/29/26 12:30:00 AM,,,14.2968,
44,01/29/26 12:45:00 AM,,,14.2993,
45,01/29/26 01:00:00 AM,,,14.2985,
46,01/29/26 01:15:00 AM,,,14.2980,
47,01/29/26 01:30:00 AM,,,14.2974,
48,01/29/26 01:45:00 AM,,,14.2983,
49,01/29/26 02:00:00 AM,,,14.2983,
50,01/29/26 02:15:00 AM,,,14.2946,
51,01/29/26 02:30:00 AM,,,14.2900,
52,01/29/26 02:45:00 AM,,,14.2916,
53,01/29/26 03:00:00 AM,,,14.2907,
54,01/29/26 03:15:00 AM,,,14.2907,
55,01/29/26 03:30:00 AM,,,14.2907,
56,01/29/26 03:45:00 AM,,,14.2875,
57,01/29/26 04:00:00 AM,,,14.2897,
58,01/29/26 04:15:00 AM,,,14.2882,
59,01/29/26 04:30:00 AM,,,14.2913,
60,01/29/26 04:45:00 AM,,,14.2897,
61,01/29/26 05:00:00 AM,,,14.2882,
62,01/29/26 05:15:00 AM,,,14.2913,
63,01/29/26 05:30:00 AM,,,14.2913,
64,01/29/26 05:45:00 AM,,,14.2943,
65,01/29/26 06:00:00 AM,,,14.2927,
66,01/29/26 06:15:00 AM,,,14.2943,
67,01/29/26 06:30:00 AM,,,14.2958,
68,01/29/26 06:45:00 AM,,,14.2958,
69,01/29/26 07:00:00 AM,,,14.2990,
70,01/29/26 07:15:00 AM,,,14.3035,
71,01/29/26 07:30:00 AM,,,14.3045,
72,01/29/26 07:45:00 AM,,,14.3122,
73,01/29/26 08:00:00 AM,,,14.3136,
74,01/29/26 08:15:00 AM,,,14.3174,
75,01/29/26 08:30:00 AM,,,14.3174,
76,01/29/26 08:45:00 AM,,,14.3194,
77,01/29/26 09:00:00 AM,,,14.3186,
78,01/29/26 09:15:00 AM,,,14.3216,
79,01/29/26 09:30:00 AM,,,14.3222,
80,01/29/26 09:45:00 AM,,,14.3235,
81,01/29/26 10:00:00 AM,,,14.3225,
82,01/29/26 10:15:00 AM,,,14.3216,
83,01/29/26 10:30:00 AM,,,14.3197,
84,01/29/26 10:45:00 AM,,,14.3203,
85,01/29/26 11:00:00 AM,,,14.3186,
86,01/29/26 11:15:00 AM,,,14.3197,
87,01/29/26 11:30:00 AM,,,14.3158,
88,01/29/26 11:45:00 AM,,,14.3154,
89,01/29/26 12:00:00 PM,,,14.3130,
90,01/29/26 12:15:00 PM,,,14.3090,
91,01/29/26 12:30:00 PM,,,14.3087,
92,01/29/26 12:45:00 PM,,,14.3032,
93,01/29/26 01:00:00 PM,,,14.3007,
94,01/29/26 01:15:00 PM,,,14.2967,
95,01/29/26 01:30:00 PM,,,14.2922,
96,01/29/26 01:45:00 PM,,,14.2881,
97,01/29/26 02:00:00 PM,,,14.2856,
98,01/29/26 02:15:00 PM,,,14.2864,
99,01/29/26 02:30:00 PM,,,14.2848,
100,01/29/26 02:45:00 PM,,,14.2878,
101,01/29/26 03:00:00 PM,,,14.2869,
102,01/29/26 03:15:00 PM,,,14.2884,
103,01/29/26 03:30:00 PM,,,14.2891,
104,01/29/26 03:45:00 PM,,,14.2922,
105,01/29/26 04:00:00 PM,,,14.2952,
106,01/29/26 04:15:00 PM,,,14.2968,
107,01/29/26 04:30:00 PM,,,14.2983,
108,01/29/26 04:45:00 PM,,,14.3020,
109,01/29/26 05:00:00 PM,,,14.3020,
110,01/29/26 05:15:00 PM,,,14.3035,
111,01/29/26 05:30:00 PM,,,14.3081,
112,01/29/26 05:45:00 PM,,,14.3122,
113,01/29/26 06:00:00 PM,,,14.3152,
114,01/29/26 06:15:00 PM,,,14.3183,
115,01/29/26 06:30:00 PM,,,14.3197,
116,01/29/26 06:45:00 PM,,,14.3167,
117,01/29/26 07:00:00 PM,,,14.3177,
118,01/29/26 07:15:00 PM,,,14.3191,
119,01/29/26 07:30:00 PM,,,14.3177,
120,01/29/26 07:45:00 PM,,,14.3207,
121,01/29/26 08:00:00 PM,,,14.3200,
122,01/29/26 08:15:00 PM,,,14.3216,
123,01/29/26 08:30:00 PM,,,14.3277,
124,01/29/26 08:45:00 PM,,,14.3257,
125,01/29/26 09:00:00 PM,,,14.3296,
126,01/29/26 09:15:00 PM,,,14.3312,
127,01/29/26 09:30:00 PM,,,14.3305,
128,01/29/26 09:45:00 PM,,,14.3351,
129,01/29/26 10:00:00 PM,,,14.3315,
130,01/29/26 10:15:00 PM,,,14.3329,
131,01/29/26 10:30:00 PM,,,14.3307,
132,01/29/26 10:45:00 PM,,,14.3339,
133,01/29/26 11:00:00 PM,,,14.3318,
134,01/29/26 11:15:00 PM,,,14.3310,
135,01/29/26 11:30:00 PM,,,14.3265,
136,01/29/26 11:45:00 PM,,,14.3258,
137,01/30/26 12:00:00 AM,,,14.3252,
138,01/30/26 12:15:00 AM,,,14.3216,
139,01/30/26 12:30:00 AM,,,14.3178,
